date,icb_industry_label,slot_count,value_weight,daily_total_slots,slot_share,weight_share
2025-05-16,Utilities,1,0.0017390892604772993,20,0.05,0.0017390892604772993
2025-05-19,Consumer Discretionary,3,0.1275726052109458,20,0.15,0.1275726052109458
2025-05-19,Consumer Staples,1,0.0049839595428401015,20,0.05,0.0049839595428401015
2025-05-19,Energy,1,0.0011254096738916419,20,0.05,0.0011254096738916419
2025-05-19,Financials,1,0.038398707953713265,20,0.05,0.038398707953713265
2025-05-19,Industrials,5,0.0696350728183026,20,0.25,0.0696350728183026
2025-05-19,Technology,8,0.7514835570958871,20,0.4,0.7514835570958871
2025-05-19,Telecommunications,1,0.006800687704419499,20,0.05,0.006800687704419499
2025-05-20,Basic Materials,1,0.0012714418721391251,20,0.05,0.0012714418721391251
2025-05-20,Consumer Discretionary,4,0.2231856368330927,20,0.2,0.2231856368330927
2025-05-20,Consumer Staples,1,0.009940004980712786,20,0.05,0.009940004980712786
2025-05-20,Financials,2,0.020083700319136373,20,0.1,0.020083700319136373
2025-05-20,Health Care,1,0.0787493702764183,20,0.05,0.0787493702764183
2025-05-20,Industrials,3,0.09266056762709533,20,0.15,0.09266056762709533
2025-05-20,Technology,7,0.5706945724084074,20,0.35,0.5706945724084074
2025-05-20,Utilities,1,0.0034147056829980063,20,0.05,0.0034147056829980063
2025-05-21,Consumer Discretionary,2,0.004330339089561179,20,0.1,0.004330339089561179
2025-05-21,Health Care,3,0.11280731692122158,20,0.15,0.11280731692122158
2025-05-21,Industrials,4,0.12662269505218948,20,0.2,0.12662269505218948
2025-05-21,Real Estate,1,0.008428757952744264,20,0.05,0.008428757952744264
2025-05-21,Technology,9,0.7431915227596273,20,0.45,0.7431915227596273
2025-05-21,Utilities,1,0.004619368224656235,20,0.05,0.004619368224656235
2025-05-22,Consumer Discretionary,2,0.18700283158872594,20,0.1,0.18700283158872594
2025-05-22,Financials,1,0.007441306883526494,20,0.05,0.007441306883526494
2025-05-22,Health Care,1,0.06053025009492723,20,0.05,0.06053025009492723
2025-05-22,Industrials,3,0.10266087398376667,20,0.15,0.10266087398376667
2025-05-22,Technology,11,0.6295282531905987,20,0.55,0.6295282531905987
2025-05-22,Telecommunications,1,0.005001119438567089,20,0.05,0.005001119438567089
2025-05-22,Utilities,1,0.007835364819887877,20,0.05,0.007835364819887877
2025-05-23,Consumer Discretionary,3,0.06725199269792516,20,0.15,0.06725199269792516
2025-05-23,Consumer Staples,1,0.03011603437992838,20,0.05,0.03011603437992838
2025-05-23,Financials,1,0.017338599946260243,20,0.05,0.017338599946260243
2025-05-23,Health Care,1,0.017151309590559126,20,0.05,0.017151309590559126
2025-05-23,Industrials,4,0.10415329353885056,20,0.2,0.10415329353885056
2025-05-23,Real Estate,1,0.00624210670307696,20,0.05,0.00624210670307696
2025-05-23,Technology,9,0.7577466631433996,20,0.45,0.7577466631433996
2025-05-27,Basic Materials,1,0.007702177499890201,20,0.05,0.007702177499890201
2025-05-27,Consumer Discretionary,1,0.0008209073928538387,20,0.05,0.0008209073928538387
2025-05-27,Financials,2,0.041965055423442095,20,0.1,0.041965055423442095
2025-05-27,Health Care,1,0.025565085460561163,20,0.05,0.025565085460561163
2025-05-27,Industrials,3,0.15544818861041276,20,0.15,0.15544818861041276
2025-05-27,Real Estate,1,0.007434682491981798,20,0.05,0.007434682491981798
2025-05-27,Technology,10,0.7457844695542059,20,0.5,0.7457844695542059
2025-05-27,Telecommunications,1,0.015279433566652307,20,0.05,0.015279433566652307
2025-05-28,Consumer Discretionary,4,0.09358449668297185,20,0.2,0.09358449668297185
2025-05-28,Financials,2,0.05978151393433501,20,0.1,0.05978151393433501
2025-05-28,Health Care,1,0.02897442964944972,20,0.05,0.02897442964944972
2025-05-28,Industrials,3,0.04525027394262373,20,0.15,0.04525027394262373
2025-05-28,Technology,10,0.7724092857906197,20,0.5,0.7724092857906197
2025-05-29,Consumer Discretionary,2,0.18889503381305808,20,0.1,0.18889503381305808
2025-05-29,Financials,4,0.04468715380455186,20,0.2,0.04468715380455186
2025-05-29,Health Care,1,0.012501726763428546,20,0.05,0.012501726763428546
2025-05-29,Industrials,5,0.10621037828499941,20,0.25,0.10621037828499941
2025-05-29,Technology,7,0.6384603011846318,20,0.35,0.6384603011846318
2025-05-29,Telecommunications,1,0.009245406149330351,20,0.05,0.009245406149330351
2025-05-30,Consumer Discretionary,1,0.156259890360203,20,0.05,0.156259890360203
2025-05-30,Financials,1,0.01127858032800831,20,0.05,0.01127858032800831
2025-05-30,Health Care,2,0.016498712622904328,20,0.1,0.016498712622904328
2025-05-30,Industrials,3,0.04672439610152611,20,0.15,0.04672439610152611
2025-05-30,Real Estate,1,0.0041062704923230595,20,0.05,0.0041062704923230595
2025-05-30,Technology,10,0.7559969234320288,20,0.5,0.7559969234320288
2025-05-30,Utilities,2,0.009135226663006235,20,0.1,0.009135226663006235
2025-06-02,Consumer Discretionary,1,0.05321120210503324,20,0.05,0.05321120210503324
2025-06-02,Consumer Staples,1,0.053756846304327525,20,0.05,0.053756846304327525
2025-06-02,Financials,1,0.04686209583158473,20,0.05,0.04686209583158473
2025-06-02,Health Care,2,0.018142055891978794,20,0.1,0.018142055891978794
2025-06-02,Industrials,4,0.2425198341894303,20,0.2,0.2425198341894303
2025-06-02,Real Estate,1,0.025799867145044106,20,0.05,0.025799867145044106
2025-06-02,Technology,10,0.5597080985326013,20,0.5,0.5597080985326013
2025-06-03,Consumer Discretionary,1,0.06690454065733985,20,0.05,0.06690454065733985
2025-06-03,Consumer Staples,1,0.036605042837375534,20,0.05,0.036605042837375534
2025-06-03,Financials,2,0.042235346747729184,20,0.1,0.042235346747729184
2025-06-03,Health Care,1,0.00977666873099727,20,0.05,0.00977666873099727
2025-06-03,Industrials,6,0.17952552959239987,20,0.3,0.17952552959239987
2025-06-03,Technology,8,0.650782731307981,20,0.4,0.650782731307981
2025-06-03,Telecommunications,1,0.014170140126177263,20,0.05,0.014170140126177263
2025-06-04,Basic Materials,2,0.019368997234148817,20,0.1,0.019368997234148817
2025-06-04,Consumer Discretionary,3,0.21154282130611052,20,0.15,0.21154282130611052
2025-06-04,Consumer Staples,1,0.04609607877867496,20,0.05,0.04609607877867496
2025-06-04,Health Care,3,0.059651534622638364,20,0.15,0.059651534622638364
2025-06-04,Industrials,4,0.22319085085365986,20,0.2,0.22319085085365986
2025-06-04,Technology,6,0.42423070729829837,20,0.3,0.42423070729829837
2025-06-04,Utilities,1,0.015919009906468957,20,0.05,0.015919009906468957
2025-06-05,Basic Materials,1,0.006841095317102462,20,0.05,0.006841095317102462
2025-06-05,Consumer Discretionary,3,0.25719088568353204,20,0.15,0.25719088568353204
2025-06-05,Financials,1,0.018703200195934515,20,0.05,0.018703200195934515
2025-06-05,Industrials,3,0.13434716576273883,20,0.15,0.13434716576273883
2025-06-05,Real Estate,1,0.009722121668828878,20,0.05,0.009722121668828878
2025-06-05,Technology,10,0.5725969908023026,20,0.5,0.5725969908023026
2025-06-05,Telecommunications,1,0.0005985405695607557,20,0.05,0.0005985405695607557
2025-06-06,Consumer Discretionary,2,0.017180926089561878,20,0.1,0.017180926089561878
2025-06-06,Financials,3,0.12506541555138298,20,0.15,0.12506541555138298
2025-06-06,Health Care,1,0.0069483221763504245,20,0.05,0.0069483221763504245
2025-06-06,Industrials,5,0.13804369007830364,20,0.25,0.13804369007830364
2025-06-06,Real Estate,2,0.03105634534500748,20,0.1,0.03105634534500748
2025-06-06,Technology,7,0.6817053007593935,20,0.35,0.6817053007593935
2025-06-09,Consumer Discretionary,3,0.11676965101903172,20,0.15,0.11676965101903172
2025-06-09,Financials,2,0.034841918787320916,20,0.1,0.034841918787320916
2025-06-09,Health Care,3,0.04866003736805233,20,0.15,0.04866003736805233
2025-06-09,Industrials,3,0.10247029676921972,20,0.15,0.10247029676921972
2025-06-09,Real Estate,1,0.009838503458501496,20,0.05,0.009838503458501496
2025-06-09,Technology,7,0.6823537082001677,20,0.35,0.6823537082001677
2025-06-09,Utilities,1,0.005065884397706004,20,0.05,0.005065884397706004
2025-06-10,Consumer Discretionary,3,0.09505924940694974,20,0.15,0.09505924940694974
2025-06-10,Health Care,3,0.04792912250572922,20,0.15,0.04792912250572922
2025-06-10,Industrials,6,0.19711654434426934,20,0.3,0.19711654434426934
2025-06-10,Real Estate,1,0.009923549460095856,20,0.05,0.009923549460095856
2025-06-10,Technology,7,0.6499715342829558,20,0.35,0.6499715342829558
2025-06-11,Consumer Discretionary,3,0.07400846746482176,20,0.15,0.07400846746482176
2025-06-11,Financials,1,0.02180607796582194,20,0.05,0.02180607796582194
2025-06-11,Health Care,2,0.024391735859501728,20,0.1,0.024391735859501728
2025-06-11,Industrials,4,0.0845046693752232,20,0.2,0.0845046693752232
2025-06-11,Technology,10,0.7952890493346314,20,0.5,0.7952890493346314
2025-06-12,Basic Materials,2,0.0188588897846929,20,0.1,0.0188588897846929
2025-06-12,Consumer Discretionary,3,0.227146416929248,20,0.15,0.227146416929248
2025-06-12,Industrials,4,0.05138590039680924,20,0.2,0.05138590039680924
2025-06-12,Technology,11,0.7026087928892498,20,0.55,0.7026087928892498
2025-06-13,Energy,1,0.005478222593972532,20,0.05,0.005478222593972532
2025-06-13,Financials,2,0.02162276910654143,20,0.1,0.02162276910654143
2025-06-13,Health Care,1,0.011871070305505955,20,0.05,0.011871070305505955
2025-06-13,Industrials,4,0.14429266048738543,20,0.2,0.14429266048738543
2025-06-13,Technology,11,0.8071096903284091,20,0.55,0.8071096903284091
2025-06-13,Utilities,1,0.009625587178185695,20,0.05,0.009625587178185695
2025-06-16,Consumer Discretionary,4,0.10440895568361422,20,0.2,0.10440895568361422
2025-06-16,Energy,1,0.005140542768659121,20,0.05,0.005140542768659121
2025-06-16,Financials,1,0.013114663425624081,20,0.05,0.013114663425624081
2025-06-16,Health Care,1,0.10336634984959654,20,0.05,0.10336634984959654
2025-06-16,Industrials,3,0.08475958165348066,20,0.15,0.08475958165348066
2025-06-16,Technology,7,0.6475921645461191,20,0.35,0.6475921645461191
2025-06-16,Telecommunications,1,0.0161551945029498,20,0.05,0.0161551945029498
2025-06-16,Utilities,2,0.025462547569956452,20,0.1,0.025462547569956452
2025-06-17,Consumer Staples,1,0.010453854045476317,20,0.05,0.010453854045476317
2025-06-17,Energy,1,0.004358532385856736,20,0.05,0.004358532385856736
2025-06-17,Financials,1,0.0064004339255939085,20,0.05,0.0064004339255939085
2025-06-17,Health Care,1,0.08925092936542697,20,0.05,0.08925092936542697
2025-06-17,Industrials,7,0.0739066773594405,20,0.35,0.0739066773594405
2025-06-17,Technology,9,0.8156295729182056,20,0.45,0.8156295729182056
2025-06-18,Basic Materials,1,0.01270139813093302,20,0.05,0.01270139813093302
2025-06-18,Consumer Discretionary,1,0.20000000000000007,20,0.05,0.20000000000000007
2025-06-18,Consumer Staples,2,0.09136694741885835,20,0.1,0.09136694741885835
2025-06-18,Energy,1,0.013200648911149197,20,0.05,0.013200648911149197
2025-06-18,Financials,2,0.04143464762322689,20,0.1,0.04143464762322689
2025-06-18,Health Care,2,0.017036392665367606,20,0.1,0.017036392665367606
2025-06-18,Industrials,3,0.12309427412379564,20,0.15,0.12309427412379564
2025-06-18,Technology,7,0.4952561535066412,20,0.35,0.4952561535066412
2025-06-18,Utilities,1,0.005909537620028245,20,0.05,0.005909537620028245
2025-06-20,Basic Materials,1,0.008917293591450317,20,0.05,0.008917293591450317
2025-06-20,Consumer Discretionary,1,0.020214894109838576,20,0.05,0.020214894109838576
2025-06-20,Consumer Staples,2,0.04167554626105831,20,0.1,0.04167554626105831
2025-06-20,Health Care,1,0.005510922428204757,20,0.05,0.005510922428204757
2025-06-20,Industrials,3,0.07497238048573124,20,0.15,0.07497238048573124
2025-06-20,Technology,11,0.8446381915964845,20,0.55,0.8446381915964845
2025-06-20,Utilities,1,0.004070771527232338,20,0.05,0.004070771527232338
2025-06-23,Basic Materials,1,0.0006839909762983023,20,0.05,0.0006839909762983023
2025-06-23,Consumer Discretionary,1,0.016344801199082853,20,0.05,0.016344801199082853
2025-06-23,Financials,3,0.09356241470124892,20,0.15,0.09356241470124892
2025-06-23,Health Care,3,0.09070927884618553,20,0.15,0.09070927884618553
2025-06-23,Industrials,2,0.07222247614183326,20,0.1,0.07222247614183326
2025-06-23,Technology,10,0.726477038135351,20,0.5,0.726477038135351
2025-06-24,Financials,1,0.14282438451276755,20,0.05,0.14282438451276755
2025-06-24,Health Care,2,0.05874561258622244,20,0.1,0.05874561258622244
2025-06-24,Industrials,5,0.036453538481626795,20,0.25,0.036453538481626795
2025-06-24,Technology,12,0.7619764644193834,20,0.6,0.7619764644193834
2025-06-25,Basic Materials,1,0.007644479625304842,20,0.05,0.007644479625304842
2025-06-25,Consumer Discretionary,2,0.20858496128532567,20,0.1,0.20858496128532567
2025-06-25,Financials,1,0.0893303540964701,20,0.05,0.0893303540964701
2025-06-25,Industrials,4,0.040534693589201705,20,0.2,0.040534693589201705
2025-06-25,Technology,12,0.6539055114036977,20,0.6,0.6539055114036977
2025-06-26,Consumer Discretionary,1,0.007236382251050594,20,0.05,0.007236382251050594
2025-06-26,Consumer Staples,1,0.027283216625852466,20,0.05,0.027283216625852466
2025-06-26,Energy,1,0.005056180357083153,20,0.05,0.005056180357083153
2025-06-26,Health Care,1,0.07006160889077649,20,0.05,0.07006160889077649
2025-06-26,Industrials,2,0.014907999196862235,20,0.1,0.014907999196862235
2025-06-26,Real Estate,1,0.009959014720255815,20,0.05,0.009959014720255815
2025-06-26,Technology,12,0.855947064050807,20,0.6,0.855947064050807
2025-06-26,Utilities,1,0.009548533907312267,20,0.05,0.009548533907312267
2025-06-27,Consumer Discretionary,4,0.14442231107336542,20,0.2,0.14442231107336542
2025-06-27,Financials,1,0.01907492830563919,20,0.05,0.01907492830563919
2025-06-27,Health Care,1,0.09080978659297133,20,0.05,0.09080978659297133
2025-06-27,Industrials,2,0.03604423533818203,20,0.1,0.03604423533818203
2025-06-27,Technology,11,0.6950205711943747,20,0.55,0.6950205711943747
2025-06-27,Telecommunications,1,0.014628167495467456,20,0.05,0.014628167495467456
2025-06-30,Consumer Discretionary,2,0.02873922015711681,20,0.1,0.02873922015711681
2025-06-30,Consumer Staples,1,0.02285733894729318,20,0.05,0.02285733894729318
2025-06-30,Financials,3,0.09534788959432068,20,0.15,0.09534788959432068
2025-06-30,Health Care,2,0.07681638684124505,20,0.1,0.07681638684124505
2025-06-30,Industrials,2,0.05392781417019518,20,0.1,0.05392781417019518
2025-06-30,Technology,10,0.7223113502898292,20,0.5,0.7223113502898292
2025-07-01,Consumer Discretionary,3,0.08675196658270683,20,0.15,0.08675196658270683
2025-07-01,Financials,2,0.035579710137465435,20,0.1,0.035579710137465435
2025-07-01,Health Care,1,0.018183338353729275,20,0.05,0.018183338353729275
2025-07-01,Industrials,2,0.06379248638621422,20,0.1,0.06379248638621422
2025-07-01,Technology,12,0.7956924985398842,20,0.6,0.7956924985398842
2025-07-02,Consumer Discretionary,1,0.017997196294426712,20,0.05,0.017997196294426712
2025-07-02,Financials,4,0.0802332661772132,20,0.2,0.0802332661772132
2025-07-02,Health Care,2,0.03398339825183272,20,0.1,0.03398339825183272
2025-07-02,Industrials,2,0.02628971567734384,20,0.1,0.02628971567734384
2025-07-02,Technology,10,0.8299063272146723,20,0.5,0.8299063272146723
2025-07-02,Utilities,1,0.011590096384511285,20,0.05,0.011590096384511285
2025-07-03,Basic Materials,1,0.0053653594368387484,20,0.05,0.0053653594368387484
2025-07-03,Consumer Discretionary,4,0.22653250113993492,20,0.2,0.22653250113993492
2025-07-03,Financials,1,0.014118207676518993,20,0.05,0.014118207676518993
2025-07-03,Health Care,2,0.07306332443711758,20,0.1,0.07306332443711758
2025-07-03,Industrials,2,0.007072679156133919,20,0.1,0.007072679156133919
2025-07-03,Technology,10,0.6738479281534555,20,0.5,0.6738479281534555
2025-07-07,Basic Materials,1,0.030408722066375064,20,0.05,0.030408722066375064
2025-07-07,Consumer Discretionary,3,0.04490309799067346,20,0.15,0.04490309799067346
2025-07-07,Consumer Staples,1,0.01354552790111358,20,0.05,0.01354552790111358
2025-07-07,Financials,1,0.029853535706122425,20,0.05,0.029853535706122425
2025-07-07,Health Care,1,0.026333115182070543,20,0.05,0.026333115182070543
